model,persona,file,status,prompt_level,instruction_level
gemma-3-1b-it,no,gemma-3-1b-it=no_answer.jsonl,ok,0.19112627986348124,0.20059880239520958
llama-3_2-1b-instruct,base,llama-3_2-1b-instruct=base_answer.jsonl,ok,0.2150170648464164,0.24850299401197604
qwen3-4b,no,qwen3-4b=no_answer.jsonl,ok,0.19795221843003413,0.2125748502994012
gemma-3-4b-it,static_medium,gemma-3-4b-it=static_medium_answer.jsonl,ok,0.22184300341296928,0.24251497005988024
qwen3-0_6b,static_medium,qwen3-0_6b=static_medium_answer.jsonl,ok,0.17064846416382254,0.19161676646706588
gemma-3-1b-it,expert_teacher,gemma-3-1b-it=expert_teacher_answer.jsonl,ok,0.16723549488054607,0.18562874251497005
gpt-5_0-nano,dynamic_long,gpt-5_0-nano=dynamic_long_answer.jsonl,ok,0.621160409556314,0.6467065868263473
gemma-3-1b-it,dynamic_medium,gemma-3-1b-it=dynamic_medium_answer.jsonl,ok,0.17064846416382254,0.18562874251497005
gpt-4_1-nano,base,gpt-4_1-nano=base_answer.jsonl,ok,0.32081911262798635,0.3652694610778443
gemma-3-1b-it,dynamic_short,gemma-3-1b-it=dynamic_short_answer.jsonl,ok,0.20477815699658702,0.20958083832335328
qwen3-4b,expert_teacher,qwen3-4b=expert_teacher_answer.jsonl,ok,0.1945392491467577,0.218562874251497
gpt-5_0-nano,intermediate_teacher,gpt-5_0-nano=intermediate_teacher_answer.jsonl,ok,0.6313993174061433,0.655688622754491
gemma-3-1b-it,base,gemma-3-1b-it=base_answer.jsonl,ok,0.21843003412969283,0.23053892215568864
gpt-4_1-nano,intermediate_teacher,gpt-4_1-nano=intermediate_teacher_answer.jsonl,ok,0.29692832764505117,0.3383233532934132
gemma-3-4b-it,dynamic_short,gemma-3-4b-it=dynamic_short_answer.jsonl,ok,0.23208191126279865,0.25149700598802394
qwen3-4b,helpful,qwen3-4b=helpful_answer.jsonl,ok,0.22184300341296928,0.23952095808383234
qwen3-4b,static_long,qwen3-4b=static_long_answer.jsonl,ok,0.20477815699658702,0.2215568862275449
