,static_id,model,persona,score
0,IFBench_0,llama-3-2-3b-instruct,base,0
1,IFBench_1,llama-3-2-3b-instruct,base,0
2,IFBench_2,llama-3-2-3b-instruct,base,0
3,IFBench_3,llama-3-2-3b-instruct,base,0
4,IFBench_4,llama-3-2-3b-instruct,base,0
5,IFBench_5,llama-3-2-3b-instruct,base,0
6,IFBench_6,llama-3-2-3b-instruct,base,1
7,IFBench_7,llama-3-2-3b-instruct,base,1
8,IFBench_8,llama-3-2-3b-instruct,base,1
9,IFBench_9,llama-3-2-3b-instruct,base,0
10,IFBench_10,llama-3-2-3b-instruct,base,0
11,IFBench_11,llama-3-2-3b-instruct,base,0
12,IFBench_12,llama-3-2-3b-instruct,base,0
13,IFBench_13,llama-3-2-3b-instruct,base,0
14,IFBench_14,llama-3-2-3b-instruct,base,0
15,IFBench_15,llama-3-2-3b-instruct,base,0
16,IFBench_16,llama-3-2-3b-instruct,base,0
17,IFBench_17,llama-3-2-3b-instruct,base,0
18,IFBench_18,llama-3-2-3b-instruct,base,0
19,IFBench_19,llama-3-2-3b-instruct,base,0
20,IFBench_20,llama-3-2-3b-instruct,base,1
21,IFBench_21,llama-3-2-3b-instruct,base,0
22,IFBench_22,llama-3-2-3b-instruct,base,0
23,IFBench_23,llama-3-2-3b-instruct,base,0
24,IFBench_24,llama-3-2-3b-instruct,base,0
25,IFBench_25,llama-3-2-3b-instruct,base,1
26,IFBench_26,llama-3-2-3b-instruct,base,1
27,IFBench_27,llama-3-2-3b-instruct,base,0
28,IFBench_28,llama-3-2-3b-instruct,base,1
29,IFBench_29,llama-3-2-3b-instruct,base,0
30,IFBench_30,llama-3-2-3b-instruct,base,1
31,IFBench_31,llama-3-2-3b-instruct,base,1
32,IFBench_32,llama-3-2-3b-instruct,base,1
33,IFBench_33,llama-3-2-3b-instruct,base,1
34,IFBench_34,llama-3-2-3b-instruct,base,1
35,IFBench_35,llama-3-2-3b-instruct,base,0
36,IFBench_36,llama-3-2-3b-instruct,base,0
37,IFBench_37,llama-3-2-3b-instruct,base,1
38,IFBench_38,llama-3-2-3b-instruct,base,0
39,IFBench_39,llama-3-2-3b-instruct,base,0
